comment,language,sentiment
nice and comfortable for longer rides hope it will last saddle is on the softer side,English,positive
i just recieve my parcel thank you seller,English,positive
parcel was secured and well packed no damage or scratch when i received the item kudos to the seller,English,positive
the product is good and sealed the correct item was delivered upgrade my stock pulley from 11t to 13t and it fits nicely hoping that this product will last ordered the item from 33 and received it at 39 almost 1week but still considerable because the item was from outside the philippines thank you to the seller for the good product and also thank you to the delivery guy till next transaction,English,positive
quality ok,English,positive
goods fit na fit sa frame ng tropa ko,Filipino,positive
i bought this because magaan parin pero its easy to break because its alloy,Mixed/Other,positive
makapal po kagaya ng original na nakakabit at wala namang issues mabilis din dumating maraming salamat,Filipino,positive
salamat seller at sa rider diko na picturan pero napakagnda saktong saktosa uulitn,Filipino,positive
i dont kniw if na satisfied yung nagpabili edit ko nalang review pag natry na nya salamat,Filipino,positive
quality good,English,positive
quality very good,English,positive
nice,English,positive
dumating napo hahaha good sya,Filipino,positive
fast delivery,English,positive
its extremely nice and quality affordable thanks seller also to delivery man,English,positive
suitability okay,Filipino,positive
true to description this item matches the description,English,positive
good packaging and nice item look quality,English,positive
quality nice sukat na sukat sa sagmit miami v20 ko salamat seller,Filipino,positive
good na good,Mixed/Other,positive
suitability thank you po,Filipino,positive
the product arrived safely in front of the house the quality of the item is good,English,positive
suitability very good,English,positive
thank you at nadeliver ung productng mabilis naayos din agad ung bike ng tatay ko will definitely order again soon sainyo,Filipino,positive
goods delivered with good quality,English,positive
exact and affordable item was able to fix my shifting issues thanks seller,English,positive
performance good,English,positive
perfect fit for my frame,English,positive
legit thanks seller,English,positive
good to buy,English,positive
true to description beautiful,English,positive
very good product,English,positive
stable and smooth,English,positive
thanks po,English,positive
quality 10 out of 10,Mixed/Other,positive
all goods ang item,Mixed/Other,positive
suitability original,English,positive
good,English,positive
suitability good,English,positive
legit guys kaya order nyo na,Filipino,positive
the quantity of the product is correct very satisfied,English,positive
quality good for the price,English,positive
just the right one thanks,English,positive
good product for sure for sure,English,positive
thanks seller for good quality products,English,positive
legit and fast delivery even though overseas 3rd order on this shop,English,positive
the seller is good and answers your message hope this shop to grow and goodluck,English,positive
maayos ang pang packed ng item salamat seller kahit na mali order ko maganda at mabilis ang pag kakarecieve ko nung item thank you,Filipino,positive
performance havent test it yet but im sure its good,English,positive
item receive in good condition and no damages thanks shoppe and seller,English,positive
item received in good condition thanks seller and shoppe,English,positive
good quality good material good service good packaging good supplier fast delivery,English,positive
good quality and its very cheap thank you ztto keep up the good work and the good quality of your product thank you,English,positive
hindi ko na ikinabit pang spare ko na lang pero legit sukat talaga sulit paghihintay ko salamat shoppe salamat seller,Filipino,positive
product quality good product quality is good true to description true to description well done matches my bike,English,positive
salamat sa page ship out pati sa pag hatid ng aking parcel ng walang anu mang sira kaya lang mali order ko sayang lang,Filipino,positive
nice bike rear derailleur hanger i will order again next time it arrives faster,English,positive
product quality aluminum material is aluminum true to description item as described the product is very good fits perfectly in the car,English,positive
received the package safely take awhile to arrive but it still fast very satisfied with the product recommended seller,English,positive
fast shipping and the seller is very kind very good quality and cheap,English,positive
thank you seller very good items fast shipping packed nice and recieved the items in good condition will buy again,English,positive
i got my order everything is great and all goods thank u seller shopee and the delivery rider,English,positive
the item is good the seller is so responsive and seller also gave me freebies thank you and will order again,English,positive
efficacy the shipping speed is fast the packaging is very careful i dont know how many times i have repurchased,English,positive
product quality true to the description nice product ship is fast china vietnam has 5 days to receive goods received my bike match so beautiful should buy it everyone,English,positive
excellent quality nice product the item is so affordable and thick and fast shipping ship on time nice product,English,positive
salamat po seller salamat sa nag deliver maganda ang item good to me,Filipino,positive
yes na yes oo ganda,Filipino,positive
maganda at malinis,Filipino,positive
hindi pa nakabit pero okay naman thank you po,Filipino,positive
legit seller third order thank you,Mixed/Other,positive
goods na goods legit,Mixed/Other,positive
good products good quality,Mixed/Other,positive
i really trust this seller he never fail me,English,positive
good packing quality looks great,English,positive
best item has landed even though the goods are from china the delivery is deserves best will repeat buy again later,English,positive
friendly seller and so smart thank you for freebies,English,positive
good quality,Mixed/Other,positive
maganda siya,Filipino,positive
good quality thanks seller,English,positive
okay pang reserba sa original kong drop out,Filipino,positive
thank you muka naman good quality,Filipino,positive
item received in a good condition thank you seller will buy again 5 star,English,positive
salamat seller ang ganda,Filipino,positive
thank you seller,English,positive
ordered 2 times of the same item received two different parts one correct one incorrect customer service corrected by adding replacement to next order quality looks good well made,English,positive
efficacy good very good,English,positive
i went to trinx tr216 instead of being beautiful and going well level 1 is very delicious the problem is not hit by the flower spokes,English,positive
item ok looks good too try it shop item ok looks good too have a try,English,positive
product delivered as shown in the picture fast delivery pictures and videos are for illustration purposes only not related to the product,English,positive
good product quality nice design will support the next purchase,English,positive
ok,English,positive
brake pads received full metal material have not yet try it work or not but look good in hand and seller fast shipping,English,positive
i ordered an order with dish brake pads and removed the cover as i thought and the material made is quite good for the price but will it work well or not i have to try it first,English,positive
usage good i dont know how long it will last i have to try this brand before i have never used it i bought and tried 4 of them this is just a try a lot,English,positive
usage excellent the package is really good it germinates the ziplock is excellent it is very organized it also says that i am sure that i ordered you a new one,English,positive
received installed working may buy more as spare,English,positive
ok sya maganda quality bibili ulet ako dto salamat sa seller sa mabilis na shipping sa uulitin po salamat,Filipino,positive
very fast delivery and the packing and quality of product looks good,English,positive
material quality feels good decent price and hopefully can last long bought for replacement of my zoom hydraulic brake caliper,English,positive
thanks to the seller the delivery is very fast the item is also ok no problem thanks too shopee,English,positive
prestigious shop beautiful stuff give the shop 5 stars thanks,English,positive
looks very good impressive likeable hope its good and will last for the rides thanks,English,positive
i recommend this shop as it hase a very good costumers service,English,positive
quality goood,English,positive
have to be tested the product yet affordable for its price hope it will last thank you seller and rider,English,positive
efficacy good change the brakes before and after a bicycle shop to make them all together it will be more than 1500 i will buy it for myself i dont need 200 i havent installed it yet i dont know how it will work after the test is completed i hope i can have good motivation and its very cheap,English,positive
the product is exactly as described complete as the picture fast delivery carefully packaged thank you store will support next time,English,positive
thank you so much ztto for giving me what i requested for free i just need to buy one item from their shop thank you so much,English,positive
thank you shopee and to seller i received my item in fast delivery in just 45days and safe yung packing and kompleto naman yung order ko very nice product sa murang halaga sana malakas yung kapit nya thank you sa rider na naka sasakyan sa susunod naman na order,Filipino,positive
usage use brakes as brake pads the old brakes ran out so i bought this one and tried it for the first time i think it can be used without any problem fast delivery beautiful,English,positive
true to the description dung elephant mo ta product quality hang rat chat luong will be happy to shop clean the picture of him video chat lay xu,English,positive
items received well packed items with bubbles wrapped for protection will fix it to my foldie soon try it out thank you,English,positive
product good quality reasonable price worth the wait not too late the product is in perfect condition the packaging is not damaged the price is low,English,positive
accurate sizing will be installing this full metal brake pads on my shimano tourney tx calipers hopefully this one lasts longer compared to the stock brake pads salamat ztto,Mixed/Other,positive
good to use no noise metal brakes cheap price works normally no problem very good value shipped from china wait about 7 days brake pads are iron,English,positive
fast delivery and size is correct seller is responsive and will definitely get again in future thank you very much,English,positive
thank god thank god i have received the item i bought at a cheap price good item,English,positive
good quality correct description fast delivery nothing to complain about,English,positive
item received in plastic packaging in a plastic envelope well protected thank you seller,English,positive
very smooth to order veryfast delivered highly recommend to friends,English,positive
very fast delivered very smooth to order highly recomend to friend,English,positive
superb product highly rated will definetly order again thank you seller and shopee,English,positive
fast delivery n highly recommended,English,positive
the items are quality products and very affordable thank you ztto,English,positive
product quality ok true to description true item is fine hehe,English,positive
item received correctly and in good condition too thanks man,English,positive
if youre reading this it means i have no complaints the five stars says it all,English,positive
this is repeated order to keep theses brake pads as spare,English,positive
item received in good condition thanks,English,positive
well packed and received very fast,English,positive
usage fair i have received the product very fast shipping the product arrived in perfect condition exactly as ordered you have to try it again,English,positive
product quality true to the description dung the quality is true to the product description the price is good the shop rating is 5 stars everyone should buy it,English,positive
product quality good true to description true item is exactly as described good quality next time will support the shop again,English,positive
usage good arrange soon or later one week neatly packed good product quality overpriced strong works well good value for money,English,positive
the product is correct as ordered the store shipped very quickly delivered on time i havent tried it yet but it would be good next time will order again,English,positive
fast delivery good packaging,English,positive
true to the description no content lam product quality normal affordable matte printing peeling paintplating how to use it,English,positive
received the product exactly as ordered good quality product the store ships quickly on time great value for money,English,positive
good product good quality reasonable price worth the wait not too late the product is in perfect condition the packaging is not damaged the price is low,English,positive
usage havent tried yet received the product the product is complete as ordered well packaged not damaged fast delivery the product arrived from abroad,English,positive
product quality temporarily ok true to description true fast delivery fast packing good packing in general which product is it,English,positive
thanks,English,positive
goods,English,positive
ok fine,English,positive
standard goods ok,English,positive
item is too ok,English,positive
thank you,English,positive
im happy,English,positive
quality,Mixed/Other,positive
okey ramn siya,Mixed/Other,positive
ok naman,Mixed/Other,positive
item is correct nice packaging goods na goods,English,positive
buy again,Filipino,positive
very nice fast delivery will order again thanks,English,positive
thanks you seller,English,positive
quality nice,Mixed/Other,positive
zitto metal disc brake pad for replacement for shimano deore brake pads assembled and usable i havent tried the heavy test there should be no problem very cheap price well packaged fast delivery wait a bit from abroad,English,positive
fast delivery and fast wait a long time good product on the cover the gold is very beautiful i dont know how long it will last i will try it thank you very much,English,positive
malakas kapit ng brake pads pero maingay lang pag nabasa ng tubig pero okay na rin,Filipino,positive
will update review once makabit na sa bike initial review is makapal ang pads at maayos na nakapackage may sarili pang pouch,Filipino,positive
